PERMNO,date,SICCD,TICKER,COMNAM,HSICIG,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,NUMTRD,RETX,sprtrn,enterdate,positive,negative,total,market_cap
10104,2023-01-03,7372,ORCL,ORACLE CORP,,82.26,83.84,83.72,8997534.0,0.024223,2696253.0,,0.024223,-0.004001,,0.0,0.0,0.0,225730301.16
10104,2023-01-04,7372,ORCL,ORACLE CORP,,83.64,85.17,84.48,7836238.0,0.009078,2696253.0,,0.009078,0.007539,,0.0,0.0,0.0,227779453.44
10104,2023-01-05,7372,ORCL,ORACLE CORP,,83.22,85.4,84.31,7643784.0,-0.002012,2696253.0,,-0.002012,-0.011646,,0.0,0.0,0.0,227321090.43
10104,2023-01-06,7372,ORCL,ORACLE CORP,,83.82,86.34,85.66,8641597.0,0.016012,2696253.0,,0.016012,0.022841,,0.0,0.0,0.0,230961031.98
10104,2023-01-09,7372,ORCL,ORACLE CORP,,86.16,87.59,86.42,7519836.0,0.012608,2696253.0,,0.008872,-0.000768,,0.0,0.0,0.0,233010184.26
10104,2023-01-10,7372,ORCL,ORACLE CORP,,85.57,86.61,86.5,5703270.0,0.000926,2696253.0,,0.000926,0.006978,,0.0,0.0,0.0,233225884.5
10104,2023-01-11,7372,ORCL,ORACLE CORP,,87.09,88.66,88.6,8359667.0,0.024277,2696253.0,,0.024277,0.012849,,0.0,0.0,0.0,238888015.79999998
10104,2023-01-12,7372,ORCL,ORACLE CORP,,88.17,89.195,88.78,6071099.0,0.002032,2696253.0,,0.002032,0.003416,2023-01-12,1.0,0.0,1.0,239373341.34
10104,2023-01-13,7372,ORCL,ORACLE CORP,,87.66,89.4662,89.2,5090938.0,0.004731,2696253.0,,0.004731,0.003997,,0.0,0.0,0.0,240505767.6
10104,2023-01-17,7372,ORCL,ORACLE CORP,,88.425,89.44,88.6,6550412.0,-0.006726,2696253.0,,-0.006726,-0.00203,2023-01-17,0.0,0.0,1.0,238888015.79999998
10104,2023-01-18,7372,ORCL,ORACLE CORP,,86.6,88.63,86.71,6397707.0,-0.021332,2696253.0,,-0.021332,-0.015563,,0.0,0.0,0.0,233792097.63
10104,2023-01-19,7372,ORCL,ORACLE CORP,,85.255,86.99,85.94,5597039.0,-0.00888,2696253.0,,-0.00888,-0.007638,2023-01-19,2.0,0.0,2.0,231715982.82
